Study Spot,Noise Level,Outlet Availability,Casual-Formal,Social-Solitary,Lively-Calm,Spot Type,Latitude,Longitude,Image
Sci Li,2,5,1,2,3,1,41.82710138,-71.40026356,scili.png
The Rock,1,3,1,4,4,1,41.8258525,-71.40501488,rock.png
The Hay ,1,5,3,5,5,1,41.82650251,-71.40486129,hay.png
Blue Room,5,1,1,1,1,5,41.82697717,-71.40350257,blue_room.png
Nelson Center for Entrepreneurship,1,3,2,4,5,2,41.82878488,-71.40057512,nelson.png
Coffee Exchange,2,3,1,2,1,5,41.81947887,-71.3990847,coffee_exchange.png
Ceremony,4,1,1,1,1,5,41.82879733,-71.39976052,ceremony.png
Starbucks,3,1,1,3,2,5,41.82776082,-71.40070555,starbucks.png
Sydney,2,1,2,3,1,5,41.83039853,-71.40101215,sydney.png
Hazel Origins,3,1,1,1,1,5,41.82368856,-71.39908053,hazel_origins.png
RISD Library,1,5,2,5,5,1,41.82548218,-71.40950852,risd_lib.png
Plant City,2,3,2,3,1,5,41.82092799,-71.40419616,plant_city.png
Bolt Coffee,3,3,1,3,3,5,41.82781777,-71.40769397,bolt_coffee.png
Cafe Nero,2,3,1,1,2,5,41.82473028,-71.41496937,cafe_nero.png
Watson Center,1,3,1,5,5,2,41.82434279958754,-71.39900146794312,watson_center.png
ERC,2,2,1,3,5,5,41.82635947,-71.39793975,erc.png
Metcalf Research Building,1,3,1,5,5,2,41.82682946,-71.40066993,metcalf.png